ball	 paddle	timestamp
[524.5213470017702, 378.8276704011938, 1341266873.213092]	[637.0, 384.0, 1341266873.213196]
[524.5213470017702, 378.8276704011938, 1341266873.228547]	[637.0, 384.0, 1341266873.228642]
[524.5213470017702, 378.8276704011938, 1341266873.245244]	[637.0, 384.0, 1341266873.24534]
[524.5213470017702, 378.8276704011938, 1341266873.263287]	[637.0, 384.0, 1341266873.263387]
[524.5213470017702, 378.8276704011938, 1341266873.280074]	[637.0, 384.0, 1341266873.280174]
[524.5213470017702, 378.8276704011938, 1341266873.296699]	[637.0, 384.0, 1341266873.296799]
[524.5213470017702, 378.8276704011938, 1341266873.313494]	[637.0, 384.0, 1341266873.313593]
[524.5213470017702, 378.8276704011938, 1341266873.330118]	[637.0, 384.0, 1341266873.330218]
[524.5213470017702, 378.8276704011938, 1341266873.346862]	[637.0, 384.0, 1341266873.346962]
[524.5213470017702, 378.8276704011938, 1341266873.363575]	[637.0, 384.0, 1341266873.363674]
[524.5213470017702, 378.8276704011938, 1341266873.380218]	[637.0, 384.0, 1341266873.380315]
[524.5213470017702, 378.8276704011938, 1341266873.396997]	[637.0, 384.0, 1341266873.397096]
[524.5213470017702, 378.8276704011938, 1341266873.413658]	[637.0, 384.0, 1341266873.413758]
[524.5213470017702, 378.8276704011938, 1341266873.429141]	[637.0, 384.0, 1341266873.429238]
[524.5213470017702, 378.8276704011938, 1341266873.447091]	[637.0, 384.0, 1341266873.447189]
[524.5213470017702, 378.8276704011938, 1341266873.46396]	[637.0, 384.0, 1341266873.464058]
[524.5213470017702, 378.8276704011938, 1341266873.48049]	[637.0, 384.0, 1341266873.48059]
[524.5213470017702, 378.8276704011938, 1341266873.497235]	[637.0, 384.0, 1341266873.497332]
[524.5213470017702, 378.8276704011938, 1341266873.514026]	[637.0, 384.0, 1341266873.514127]
[524.5213470017702, 378.8276704011938, 1341266873.530666]	[637.0, 384.0, 1341266873.530763]
[524.5213470017702, 378.8276704011938, 1341266873.54748]	[637.0, 384.0, 1341266873.547577]
[524.5213470017702, 378.8276704011938, 1341266873.564104]	[637.0, 384.0, 1341266873.564203]
[524.5213470017702, 378.8276704011938, 1341266873.580708]	[637.0, 384.0, 1341266873.580808]
[524.5213470017702, 378.8276704011938, 1341266873.596089]	[637.0, 384.0, 1341266873.59618]
[524.5213470017702, 378.8276704011938, 1341266873.61289]	[637.0, 384.0, 1341266873.612983]
[524.5213470017702, 378.8276704011938, 1341266873.630774]	[637.0, 384.0, 1341266873.630873]
[524.5213470017702, 378.8276704011938, 1341266873.646288]	[637.0, 384.0, 1341266873.646383]
[524.5213470017702, 378.8276704011938, 1341266873.663405]	[637.0, 384.0, 1341266873.663501]
[524.5213470017702, 378.8276704011938, 1341266873.679765]	[637.0, 384.0, 1341266873.679858]
[524.5213470017702, 378.8276704011938, 1341266873.697893]	[637.0, 384.0, 1341266873.697993]
[524.5213470017702, 378.8276704011938, 1341266873.71463]	[637.0, 384.0, 1341266873.71473]
[524.5213470017702, 378.8276704011938, 1341266873.730817]	[637.0, 384.0, 1341266873.730915]
[524.5213470017702, 378.8276704011938, 1341266873.746771]	[637.0, 384.0, 1341266873.746868]
[524.5213470017702, 378.8276704011938, 1341266873.764821]	[637.0, 384.0, 1341266873.76492]
[524.5213470017702, 378.8276704011938, 1341266873.781144]	[637.0, 384.0, 1341266873.781243]
[524.5213470017702, 378.8276704011938, 1341266873.798113]	[637.0, 384.0, 1341266873.798212]
[524.5213470017702, 378.8276704011938, 1341266873.814923]	[637.0, 384.0, 1341266873.815022]
[524.5213470017702, 378.8276704011938, 1341266873.831195]	[637.0, 384.0, 1341266873.831292]
[524.5213470017702, 378.8276704011938, 1341266873.847052]	[637.0, 384.0, 1341266873.847149]
[524.5213470017702, 378.8276704011938, 1341266873.863959]	[637.0, 384.0, 1341266873.864056]
[524.5213470017702, 378.8276704011938, 1341266873.880395]	[637.0, 384.0, 1341266873.88049]
[524.5213470017702, 378.8276704011938, 1341266873.898489]	[637.0, 384.0, 1341266873.898588]
[524.5213470017702, 378.8276704011938, 1341266873.915179]	[637.0, 384.0, 1341266873.915278]
[524.5213470017702, 378.8276704011938, 1341266873.931412]	[637.0, 384.0, 1341266873.93151]
[524.5213470017702, 378.8276704011938, 1341266873.947361]	[637.0, 384.0, 1341266873.94746]
[524.5213470017702, 378.8276704011938, 1341266873.965323]	[637.0, 384.0, 1341266873.965422]
[524.5213470017702, 378.8276704011938, 1341266873.981483]	[637.0, 384.0, 1341266873.981579]
[524.5213470017702, 378.8276704011938, 1341266873.997336]	[637.0, 384.0, 1341266873.997432]
[524.5213470017702, 378.8276704011938, 1341266874.015544]	[637.0, 384.0, 1341266874.015643]
[524.5213470017702, 378.8276704011938, 1341266874.031615]	[637.0, 384.0, 1341266874.031711]
[524.5213470017702, 378.8276704011938, 1341266874.047664]	[637.0, 384.0, 1341266874.047762]
[524.5213470017702, 378.8276704011938, 1341266874.065675]	[637.0, 384.0, 1341266874.065776]
[524.5213470017702, 378.8276704011938, 1341266874.081683]	[637.0, 384.0, 1341266874.08178]
[524.5213470017702, 378.8276704011938, 1341266874.09904]	[637.0, 384.0, 1341266874.09914]
[524.5213470017702, 378.8276704011938, 1341266874.114445]	[637.0, 384.0, 1341266874.114537]
[524.5213470017702, 378.8276704011938, 1341266874.131829]	[637.0, 384.0, 1341266874.131926]
[524.5213470017702, 378.8276704011938, 1341266874.147983]	[637.0, 384.0, 1341266874.148079]
[524.5213470017702, 378.8276704011938, 1341266874.165995]	[637.0, 384.0, 1341266874.166094]
[524.5213470017702, 378.8276704011938, 1341266874.181925]	[637.0, 384.0, 1341266874.182021]
[524.5213470017702, 378.8276704011938, 1341266874.199325]	[637.0, 384.0, 1341266874.199423]
[524.5213470017702, 378.8276704011938, 1341266874.216048]	[637.0, 384.0, 1341266874.216149]
[524.5213470017702, 378.8276704011938, 1341266874.232023]	[637.0, 384.0, 1341266874.232122]
[524.5213470017702, 378.8276704011938, 1341266874.248286]	[637.0, 384.0, 1341266874.248382]
[524.5213470017702, 378.8276704011938, 1341266874.26624]	[637.0, 384.0, 1341266874.266339]
[524.5213470017702, 378.8276704011938, 1341266874.282145]	[637.0, 384.0, 1341266874.282243]
[524.5213470017702, 378.8276704011938, 1341266874.298269]	[637.0, 384.0, 1341266874.298361]
[524.5213470017702, 378.8276704011938, 1341266874.315125]	[637.0, 384.0, 1341266874.31522]
[524.5213470017702, 378.8276704011938, 1341266874.3331]	[637.0, 384.0, 1341266874.333199]
[524.5213470017702, 378.8276704011938, 1341266874.349834]	[637.0, 384.0, 1341266874.349933]
[524.5213470017702, 378.8276704011938, 1341266874.365342]	[637.0, 384.0, 1341266874.365436]
[524.5213470017702, 378.8276704011938, 1341266874.383297]	[637.0, 384.0, 1341266874.383398]
