ball 	 paddle 
[[676.7567980193207, 126.8554103792177]]	[[600.3450393676758, 50]]
[[679.1336369078093, 129.49277963356957]]	[[600.3450393676758, 50]]
[[681.5075090461038, 132.12685694592855]]	[[600.3450393676758, 50]]
[[683.8638503877966, 134.74148187378407]]	[[600.3450393676758, 50]]
[[686.2480387256297, 137.3870061662547]]	[[600.3450393676758, 50]]
[[688.5995590982569, 139.9962816883718]]	[[600.3450393676758, 50]]
[[690.9808143989663, 142.6385514472813]]	[[600.3450393676758, 50]]
[[693.3378300020668, 145.25392454377157]]	[[600.3450393676758, 50]]
[[695.7051955177764, 147.88078202880524]]	[[600.3450393676758, 50]]
[[698.085169721811, 150.5216302673087]]	[[600.3450393676758, 50]]
[[700.4848997850929, 153.1843998468103]]	[[600.3450393676758, 50]]
[[702.8159226109243, 155.77093104243102]]	[[600.3450393676758, 50]]
[[705.1890867747406, 158.4042227777235]]	[[600.3450393676758, 50]]
[[707.5488331365425, 161.02262595718452]]	[[600.3450393676758, 50]]
[[709.9123890752983, 163.64525628943184]]	[[600.3450393676758, 50]]
[[712.27820378977, 166.27039298660557]]	[[600.3450393676758, 50]]
[[714.7043986133065, 168.96252818502103]]	[[600.3450393676758, 50]]
[[717.0129348211891, 171.52410795667288]]	[[600.3450393676758, 50]]
[[719.405450287408, 174.17887213178267]]	[[600.3450393676758, 50]]
[[721.7558581287125, 176.78691317565242]]	[[600.3450393676758, 50]]
[[724.1090978679294, 179.39809652778808]]	[[600.3450393676758, 50]]
[[726.5137837525584, 182.0663651467551]]	[[600.3450393676758, 50]]
[[726.5137837525584, 182.0663651467551]]	[[600.3450393676758, 50]]
[[726.5137837525584, 182.0663651467551]]	[[600.3450393676758, 50]]
[[726.5137837525584, 182.0663651467551]]	[[600.3450393676758, 50]]
[[726.5137837525584, 182.0663651467551]]	[[600.3450393676758, 50]]
[[726.5137837525584, 182.0663651467551]]	[[600.3450393676758, 50]]
[[726.5137837525584, 182.0663651467551]]	[[600.3450393676758, 50]]
[[726.5137837525584, 182.0663651467551]]	[[600.3450393676758, 50]]
[[726.5137837525584, 182.0663651467551]]	[[600.3450393676758, 50]]
[[726.5137837525584, 182.0663651467551]]	[[600.3450393676758, 50]]
[[726.5137837525584, 182.0663651467551]]	[[600.3450393676758, 50]]
[[726.5137837525584, 182.0663651467551]]	[[600.3450393676758, 50]]
[[726.5137837525584, 182.0663651467551]]	[[600.3450393676758, 50]]
[[726.5137837525584, 182.0663651467551]]	[[600.3450393676758, 50]]
[[726.5137837525584, 182.0663651467551]]	[[600.3450393676758, 50]]
[[726.5137837525584, 182.0663651467551]]	[[600.3450393676758, 50]]
[[726.5137837525584, 182.0663651467551]]	[[600.3450393676758, 50]]
[[726.5137837525584, 182.0663651467551]]	[[600.3450393676758, 50]]
[[726.5137837525584, 182.0663651467551]]	[[600.3450393676758, 50]]
[[726.5137837525584, 182.0663651467551]]	[[600.3450393676758, 50]]
