ball	 paddle	timestamp
[642.20204541222517, 399.65983267081913, 1341340821.310179]	[765.0, 400.0, 1341340821.310251]
[642.20204541222517, 399.65983267081913, 1341340821.3265581]	[765.0, 400.0, 1341340821.326632]
[642.20204541222517, 399.65983267081913, 1341340821.3434229]	[765.0, 400.0, 1341340821.3434989]
[642.20204541222517, 399.65983267081913, 1341340821.359926]	[765.0, 400.0, 1341340821.3600249]
[642.20204541222517, 399.65983267081913, 1341340821.3763101]	[765.0, 400.0, 1341340821.3764069]
[642.20204541222517, 399.65983267081913, 1341340821.3929231]	[765.0, 400.0, 1341340821.393013]
[642.20204541222517, 399.65983267081913, 1341340821.409236]	[765.0, 400.0, 1341340821.409333]
[642.20204541222517, 399.65983267081913, 1341340821.42536]	[765.0, 400.0, 1341340821.4254429]
[642.20204541222517, 399.65983267081913, 1341340821.4416821]	[765.0, 400.0, 1341340821.4417591]
[642.20204541222517, 399.65983267081913, 1341340821.4582441]	[765.0, 400.0, 1341340821.458322]
[642.20204541222517, 399.65983267081913, 1341340821.4746161]	[765.0, 400.0, 1341340821.474685]
[642.20204541222517, 399.65983267081913, 1341340821.4909599]	[765.0, 400.0, 1341340821.491029]
[642.20204541222517, 399.65983267081913, 1341340821.5073111]	[765.0, 400.0, 1341340821.507381]
[642.20204541222517, 399.65983267081913, 1341340821.523854]	[765.0, 400.0, 1341340821.5239241]
[642.20204541222517, 399.65983267081913, 1341340821.5401721]	[765.0, 400.0, 1341340821.540241]
[642.20204541222517, 399.65983267081913, 1341340821.5705271]	[765.0, 400.0, 1341340821.5705941]
[646.32782216374142, 399.02249138322895, 1341340821.5896349]	[765.0, 400.0, 1341340821.5897219]
[649.87551015732129, 398.47445202725419, 1341340821.6059361]	[765.0, 400.0, 1341340821.6060219]
[653.46337200199537, 397.92020669952535, 1341340821.6224389]	[765.0, 400.0, 1341340821.622525]
[657.0786557398676, 397.36172529559269, 1341340821.6390679]	[765.0, 400.0, 1341340821.639154]
[660.61566526464071, 396.81533552694873, 1341340821.655334]	[765.0, 400.0, 1341340821.6554201]
[664.26941222510879, 396.25091240554309, 1341340821.6721399]	[765.0, 400.0, 1341340821.672226]
[667.81471570623671, 395.7032414040209, 1341340821.6884739]	[765.0, 400.0, 1341340821.6885591]
[671.32580661740053, 395.16085548812157, 1341340821.7045929]	[765.0, 400.0, 1341340821.7046781]
[674.88894210469152, 394.61042983591108, 1341340821.720983]	[765.0, 400.0, 1341340821.721071]
[678.45155921971025, 394.06008426075539, 1341340821.7373669]	[765.0, 400.0, 1341340821.737452]
[682.03900636656647, 393.50590299467046, 1341340821.7538691]	[765.0, 400.0, 1341340821.7539549]
[685.50862749595592, 392.96992324316238, 1341340821.769834]	[765.0, 400.0, 1341340821.7699239]
[689.28502133602206, 392.3865538905693, 1341340821.787245]	[765.0, 400.0, 1341340821.787354]
[692.73660311033973, 391.85336082057154, 1341340821.803122]	[765.0, 400.0, 1341340821.803231]
[696.32119920969888, 391.29961997828843, 1341340821.819556]	[765.0, 400.0, 1341340821.819643]
[699.8634442944209, 390.75242143139008, 1341340821.83585]	[765.0, 400.0, 1341340821.835937]
[703.43782846001818, 390.20025810708842, 1341340821.852288]	[765.0, 400.0, 1341340821.8523741]
[706.98634584923354, 389.65209062782583, 1341340821.8686111]	[765.0, 400.0, 1341340821.8686979]
[710.5957719804303, 389.09451409461349, 1341340821.885263]	[765.0, 400.0, 1341340821.8853719]
[714.1799533819717, 388.54083731397429, 1341340821.9017551]	[765.0, 400.0, 1341340821.901866]
[717.68715650109425, 387.99905197598662, 1341340821.917846]	[765.0, 400.0, 1341340821.917942]
[721.27678081149361, 387.44453438627113, 1341340821.93434]	[765.0, 400.0, 1341340821.9344261]
[724.87034475116161, 386.88940821093843, 1341340821.9508829]	[765.0, 400.0, 1341340821.9509721]
[728.45996906156097, 386.33489062122294, 1341340821.9674661]	[765.0, 400.0, 1341340821.967592]
[732.05716160713405, 385.77920390650604, 1341340821.98401]	[765.0, 400.0, 1341340821.984201]
[735.56985947234182, 385.23656975173651, 1341340822.0001431]	[765.0, 400.0, 1341340822.000253]
[739.16881448364052, 384.68061077503296, 1341340822.0167191]	[765.0, 400.0, 1341340822.016845]
[742.71562124435764, 384.13270755005158, 1341340822.0330329]	[765.0, 400.0, 1341340822.0331621]
[746.28694701354902, 383.58101668037375, 1341340822.049417]	[765.0, 400.0, 1341340822.049526]
[749.79591259839708, 383.03895908039942, 1341340822.0655701]	[765.0, 400.0, 1341340822.065685]
[753.40425014782215, 382.48155070900236, 1341340822.082129]	[765.0, 400.0, 1341340822.0822289]
[756.96733379788589, 381.93113306449732, 1341340822.098573]	[765.0, 400.0, 1341340822.0986979]
[760.51149686001486, 381.38363823249585, 1341340822.1148419]	[765.0, 400.0, 1341340822.1149571]
[753.39398637683303, 380.28414023030246, 1341340822.1312289]	[765.0, 400.0, 1341340822.131315]
[749.79000315449412, 379.72740450616641, 1341340822.1478951]	[765.0, 400.0, 1341340822.1480031]
[746.21821085025783, 379.17564156713922, 1341340822.164283]	[765.0, 400.0, 1341340822.164392]
